Method,CRPS,MSE,SSIM,CSI-16-POOL1,CSI-16-POOL1-GC,CSI-16-POOL4,CSI-16-POOL4-GC,CSI-16-POOL16,CSI-16-POOL16-GC,CSI-74-POOL1,CSI-74-POOL1-GC,CSI-74-POOL4,CSI-74-POOL4-GC,CSI-74-POOL16,CSI-74-POOL16-GC,CSI-133-POOL1,CSI-133-POOL1-GC,CSI-133-POOL4,CSI-133-POOL4-GC,CSI-133-POOL16,CSI-133-POOL16-GC,CSI-160-POOL1,CSI-160-POOL1-GC,CSI-160-POOL4,CSI-160-POOL4-GC,CSI-160-POOL16,CSI-160-POOL16-GC,CSI-181-POOL1,CSI-181-POOL1-GC,CSI-181-POOL4,CSI-181-POOL4-GC,CSI-181-POOL16,CSI-181-POOL16-GC,CSI-219-POOL1,CSI-219-POOL1-GC,CSI-219-POOL4,CSI-219-POOL4-GC,CSI-219-POOL16,CSI-219-POOL16-GC,POD-16-POOL1,POD-16-POOL1-GC,POD-16-POOL4,POD-16-POOL4-GC,POD-16-POOL16,POD-16-POOL16-GC,POD-74-POOL1,POD-74-POOL1-GC,POD-74-POOL4,POD-74-POOL4-GC,POD-74-POOL16,POD-74-POOL16-GC,POD-133-POOL1,POD-133-POOL1-GC,POD-133-POOL4,POD-133-POOL4-GC,POD-133-POOL16,POD-133-POOL16-GC,POD-160-POOL1,POD-160-POOL1-GC,POD-160-POOL4,POD-160-POOL4-GC,POD-160-POOL16,POD-160-POOL16-GC,POD-181-POOL1,POD-181-POOL1-GC,POD-181-POOL4,POD-181-POOL4-GC,POD-181-POOL16,POD-181-POOL16-GC,POD-219-POOL1,POD-219-POOL1-GC,POD-219-POOL4,POD-219-POOL4-GC,POD-219-POOL16,POD-219-POOL16-GC,FAR-16-POOL1,FAR-16-POOL1-GC,FAR-16-POOL4,FAR-16-POOL4-GC,FAR-16-POOL16,FAR-16-POOL16-GC,FAR-74-POOL1,FAR-74-POOL1-GC,FAR-74-POOL4,FAR-74-POOL4-GC,FAR-74-POOL16,FAR-74-POOL16-GC,FAR-133-POOL1,FAR-133-POOL1-GC,FAR-133-POOL4,FAR-133-POOL4-GC,FAR-133-POOL16,FAR-133-POOL16-GC,FAR-160-POOL1,FAR-160-POOL1-GC,FAR-160-POOL4,FAR-160-POOL4-GC,FAR-160-POOL16,FAR-160-POOL16-GC,FAR-181-POOL1,FAR-181-POOL1-GC,FAR-181-POOL4,FAR-181-POOL4-GC,FAR-181-POOL16,FAR-181-POOL16-GC,FAR-219-POOL1,FAR-219-POOL1-GC,FAR-219-POOL4,FAR-219-POOL4-GC,FAR-219-POOL16,FAR-219-POOL16-GC
Baseline,0.0391,0.0070,0.6089,0.6427,0.6792,0.6728,0.7034,0.7393,0.7592,0.4945,0.5792,0.5125,0.5921,0.5406,0.6055,0.1372,0.2845,0.1447,0.2513,0.1681,0.2326,0.0722,0.3632,0.0730,0.2743,0.0793,0.1722,0.0468,0.4259,0.0476,0.3297,0.0500,0.1813,0.0139,0.2623,0.0143,0.2396,0.0144,0.1532,0.8818,0.9092,0.8749,0.9004,0.8677,0.8861,0.5719,0.6708,0.5695,0.6605,0.5677,0.6370,0.1473,0.3053,0.1514,0.2628,0.1716,0.2366,0.0749,0.3797,0.0749,0.2824,0.0806,0.1741,0.0479,0.4409,0.0484,0.3378,0.0507,0.1831,0.0139,0.2639,0.0143,0.2409,0.0145,0.1537,0.3088,0.2749,0.2653,0.2396,0.1711,0.1587,0.2662,0.2107,0.2075,0.1677,0.1056,0.0875,0.2700,0.2887,0.1889,0.2582,0.0678,0.1686,0.1010,0.1602,0.0639,0.1591,0.0214,0.1487,0.0480,0.1112,0.0292,0.1108,0.0103,0.1065,0.0079,0.0103,0.0041,0.0103,0.0024,0.0105
Enhanced,0.0309,0.0067,0.7740,0.6919,0.7308,0.7101,0.7442,0.7379,0.7623,0.5577,0.6356,0.5737,0.6467,0.5988,0.6574,0.2653,0.4053,0.2877,0.3992,0.3348,0.4130,0.1344,0.4167,0.1417,0.3470,0.1649,0.2747,0.0830,0.4947,0.0875,0.4016,0.0999,0.2603,0.0293,0.5621,0.0306,0.5101,0.0318,0.3255,0.8268,0.8620,0.8054,0.8392,0.7804,0.8055,0.6767,0.7688,0.6516,0.7360,0.6307,0.6936,0.3261,0.4991,0.3258,0.4559,0.3514,0.4351,0.1497,0.4686,0.1518,0.3755,0.1709,0.2840,0.0887,0.5438,0.0917,0.4301,0.1029,0.2680,0.0302,0.6165,0.0316,0.5525,0.0330,0.3411,0.2079,0.1782,0.1583,0.1380,0.0773,0.0699,0.2738,0.2268,0.2017,0.1704,0.0927,0.0826,0.4422,0.3612,0.3241,0.2857,0.1460,0.1464,0.3238,0.2903,0.2380,0.2752,0.1105,0.2114,0.1847,0.2229,0.1337,0.2261,0.0602,0.2216,0.0293,0.1542,0.0188,0.1604,0.0111,0.1792
