Method,LeadTimeMin,Aggregation,Metric,Threshold,Pool,Value
Baseline,25,batch_avg,POD,74,16,0.586270
Baseline,30,batch_avg,POD,74,16,0.557861
Baseline,35,batch_avg,POD,74,16,0.534427
Baseline,40,batch_avg,POD,74,16,0.521375
Baseline,45,batch_avg,POD,74,16,0.496662
Baseline,50,batch_avg,POD,74,16,0.474532
Baseline,55,batch_avg,POD,74,16,0.454866
Baseline,60,batch_avg,POD,74,16,0.433783
Baseline,5,global_count,POD,74,16,0.840176
Baseline,10,global_count,POD,74,16,0.755675
Baseline,15,global_count,POD,74,16,0.713911
Baseline,20,global_count,POD,74,16,0.683138
Baseline,25,global_count,POD,74,16,0.662428
Baseline,30,global_count,POD,74,16,0.634992
Baseline,35,global_count,POD,74,16,0.612563
Baseline,40,global_count,POD,74,16,0.597034
Baseline,45,global_count,POD,74,16,0.567155
Baseline,50,global_count,POD,74,16,0.545027
Baseline,55,global_count,POD,74,16,0.526961
Baseline,60,global_count,POD,74,16,0.504708
Baseline,5,batch_avg,POD,133,1,0.448888
Baseline,10,batch_avg,POD,133,1,0.330497
Baseline,15,batch_avg,POD,133,1,0.260093
Baseline,20,batch_avg,POD,133,1,0.198715
Baseline,25,batch_avg,POD,133,1,0.152869
Baseline,30,batch_avg,POD,133,1,0.112513
Baseline,35,batch_avg,POD,133,1,0.083655
Baseline,40,batch_avg,POD,133,1,0.062273
Baseline,45,batch_avg,POD,133,1,0.043280
Baseline,50,batch_avg,POD,133,1,0.030987
Baseline,55,batch_avg,POD,133,1,0.023584
Baseline,60,batch_avg,POD,133,1,0.020501
Baseline,5,global_count,POD,133,1,0.612204
Baseline,10,global_count,POD,133,1,0.542890
Baseline,15,global_count,POD,133,1,0.477161
Baseline,20,global_count,POD,133,1,0.415045
Baseline,25,global_count,POD,133,1,0.368174
Baseline,30,global_count,POD,133,1,0.315055
Baseline,35,global_count,POD,133,1,0.278593
Baseline,40,global_count,POD,133,1,0.211571
Baseline,45,global_count,POD,133,1,0.131046
Baseline,50,global_count,POD,133,1,0.108121
Baseline,55,global_count,POD,133,1,0.104824
Baseline,60,global_count,POD,133,1,0.099332
Baseline,5,batch_avg,POD,133,4,0.443921
Baseline,10,batch_avg,POD,133,4,0.323037
Baseline,15,batch_avg,POD,133,4,0.254929
Baseline,20,batch_avg,POD,133,4,0.202462
Baseline,25,batch_avg,POD,133,4,0.162360
Baseline,30,batch_avg,POD,133,4,0.125091
Baseline,35,batch_avg,POD,133,4,0.096078
Baseline,40,batch_avg,POD,133,4,0.073533
Baseline,45,batch_avg,POD,133,4,0.051792
Baseline,50,batch_avg,POD,133,4,0.036591
Baseline,55,batch_avg,POD,133,4,0.026038
Baseline,60,batch_avg,POD,133,4,0.020925
Baseline,5,global_count,POD,133,4,0.566525
Baseline,10,global_count,POD,133,4,0.476835
Baseline,15,global_count,POD,133,4,0.410534
Baseline,20,global_count,POD,133,4,0.357983
Baseline,25,global_count,POD,133,4,0.316316
Baseline,30,global_count,POD,133,4,0.268449
Baseline,35,global_count,POD,133,4,0.231732
Baseline,40,global_count,POD,133,4,0.177926
Baseline,45,global_count,POD,133,4,0.113444
Baseline,50,global_count,POD,133,4,0.088487
Baseline,55,global_count,POD,133,4,0.076823
Baseline,60,global_count,POD,133,4,0.068549
Baseline,5,batch_avg,POD,133,16,0.495526
Baseline,10,batch_avg,POD,133,16,0.352226
Baseline,15,batch_avg,POD,133,16,0.274469
Baseline,20,batch_avg,POD,133,16,0.223445
Baseline,25,batch_avg,POD,133,16,0.184585
Baseline,30,batch_avg,POD,133,16,0.147202
Baseline,35,batch_avg,POD,133,16,0.118542
Baseline,40,batch_avg,POD,133,16,0.093987
Baseline,45,batch_avg,POD,133,16,0.067852
Baseline,50,batch_avg,POD,133,16,0.047685
Baseline,55,batch_avg,POD,133,16,0.031274
Baseline,60,batch_avg,POD,133,16,0.022514
Baseline,5,global_count,POD,133,16,0.576379
Baseline,10,global_count,POD,133,16,0.446957
Baseline,15,global_count,POD,133,16,0.367973
Baseline,20,global_count,POD,133,16,0.315973
Baseline,25,global_count,POD,133,16,0.274798
Baseline,30,global_count,POD,133,16,0.229695
Baseline,35,global_count,POD,133,16,0.193516
Baseline,40,global_count,POD,133,16,0.153198
Baseline,45,global_count,POD,133,16,0.105483
Baseline,50,global_count,POD,133,16,0.076788
Baseline,55,global_count,POD,133,16,0.055450
Baseline,60,global_count,POD,133,16,0.042778
Baseline,5,batch_avg,POD,160,1,0.279386
Baseline,10,batch_avg,POD,160,1,0.183591
Baseline,15,batch_avg,POD,160,1,0.129963
Baseline,20,batch_avg,POD,160,1,0.087921
Baseline,25,batch_avg,POD,160,1,0.058485
Baseline,30,batch_avg,POD,160,1,0.035553
Baseline,35,batch_avg,POD,160,1,0.025926
Baseline,40,batch_avg,POD,160,1,0.022465
Baseline,45,batch_avg,POD,160,1,0.020515
Baseline,50,batch_avg,POD,160,1,0.018488
Baseline,55,batch_avg,POD,160,1,0.018074
Baseline,60,batch_avg,POD,160,1,0.017907
Baseline,5,global_count,POD,160,1,0.642102
Baseline,10,global_count,POD,160,1,0.614047
Baseline,15,global_count,POD,160,1,0.560596
Baseline,20,global_count,POD,160,1,0.500666
Baseline,25,global_count,POD,160,1,0.464360
Baseline,30,global_count,POD,160,1,0.365500
Baseline,35,global_count,POD,160,1,0.327221
Baseline,40,global_count,POD,160,1,0.253676
Baseline,45,global_count,POD,160,1,0.193409
Baseline,50,global_count,POD,160,1,0.187766
Baseline,55,global_count,POD,160,1,0.224637
Baseline,60,global_count,POD,160,1,0.222651
Baseline,5,batch_avg,POD,160,4,0.283435
Baseline,10,batch_avg,POD,160,4,0.181013
Baseline,15,batch_avg,POD,160,4,0.128128
Baseline,20,batch_avg,POD,160,4,0.089212
Baseline,25,batch_avg,POD,160,4,0.061141
Baseline,30,batch_avg,POD,160,4,0.037404
Baseline,35,batch_avg,POD,160,4,0.026331
Baseline,40,batch_avg,POD,160,4,0.021810
Baseline,45,batch_avg,POD,160,4,0.019063
Baseline,50,batch_avg,POD,160,4,0.017425
Baseline,55,batch_avg,POD,160,4,0.016739
Baseline,60,batch_avg,POD,160,4,0.016613
Baseline,5,global_count,POD,160,4,0.553978
Baseline,10,global_count,POD,160,4,0.489192
Baseline,15,global_count,POD,160,4,0.429208
Baseline,20,global_count,POD,160,4,0.377527
Baseline,25,global_count,POD,160,4,0.340195
Baseline,30,global_count,POD,160,4,0.264019
Baseline,35,global_count,POD,160,4,0.229134
Baseline,40,global_count,POD,160,4,0.172295
Baseline,45,global_count,POD,160,4,0.130600
Baseline,50,global_count,POD,160,4,0.124330
Baseline,55,global_count,POD,160,4,0.139415
Baseline,60,global_count,POD,160,4,0.138663
Baseline,5,batch_avg,POD,160,16,0.323559
Baseline,10,batch_avg,POD,160,16,0.198839
Baseline,15,batch_avg,POD,160,16,0.138158
Baseline,20,batch_avg,POD,160,16,0.097863
Baseline,25,batch_avg,POD,160,16,0.067992
Baseline,30,batch_avg,POD,160,16,0.040805
Baseline,35,batch_avg,POD,160,16,0.026564
Baseline,40,batch_avg,POD,160,16,0.019085
Baseline,45,batch_avg,POD,160,16,0.014950
Baseline,50,batch_avg,POD,160,16,0.013809
Baseline,55,batch_avg,POD,160,16,0.012672
Baseline,60,batch_avg,POD,160,16,0.012602
Baseline,5,global_count,POD,160,16,0.479447
Baseline,10,global_count,POD,160,16,0.361066
Baseline,15,global_count,POD,160,16,0.286272
Baseline,20,global_count,POD,160,16,0.236183
Baseline,25,global_count,POD,160,16,0.193298
Baseline,30,global_count,POD,160,16,0.139760
Baseline,35,global_count,POD,160,16,0.110310
Baseline,40,global_count,POD,160,16,0.076409
Baseline,45,global_count,POD,160,16,0.054132
Baseline,50,global_count,POD,160,16,0.049621
Baseline,55,global_count,POD,160,16,0.051438
Baseline,60,global_count,POD,160,16,0.051397
Baseline,5,batch_avg,POD,181,1,0.175547
Baseline,10,batch_avg,POD,181,1,0.113035
Baseline,15,batch_avg,POD,181,1,0.074272
Baseline,20,batch_avg,POD,181,1,0.044653
Baseline,25,batch_avg,POD,181,1,0.031363
Baseline,30,batch_avg,POD,181,1,0.023320
Baseline,35,batch_avg,POD,181,1,0.020591
Baseline,40,batch_avg,POD,181,1,0.019695
Baseline,45,batch_avg,POD,181,1,0.020413
Baseline,50,batch_avg,POD,181,1,0.018112
Baseline,55,batch_avg,POD,181,1,0.017580
Baseline,60,batch_avg,POD,181,1,0.016355
Baseline,5,global_count,POD,181,1,0.692541
Baseline,10,global_count,POD,181,1,0.709103
Baseline,15,global_count,POD,181,1,0.670663
Baseline,20,global_count,POD,181,1,0.515285
Baseline,25,global_count,POD,181,1,0.478289
Baseline,30,global_count,POD,181,1,0.434533
Baseline,35,global_count,POD,181,1,0.320658
Baseline,40,global_count,POD,181,1,0.300956
Baseline,45,global_count,POD,181,1,0.264633
Baseline,50,global_count,POD,181,1,0.261535
Baseline,55,global_count,POD,181,1,0.333451
Baseline,60,global_count,POD,181,1,0.309524
Baseline,5,batch_avg,POD,181,4,0.182382
Baseline,10,batch_avg,POD,181,4,0.115464
Baseline,15,batch_avg,POD,181,4,0.075547
Baseline,20,batch_avg,POD,181,4,0.045903
Baseline,25,batch_avg,POD,181,4,0.031655
Baseline,30,batch_avg,POD,181,4,0.022686
Baseline,35,batch_avg,POD,181,4,0.019675
Baseline,40,batch_avg,POD,181,4,0.019001
Baseline,45,batch_avg,POD,181,4,0.019003
Baseline,50,batch_avg,POD,181,4,0.017345
Baseline,55,batch_avg,POD,181,4,0.016709
Baseline,60,batch_avg,POD,181,4,0.015790
Baseline,5,global_count,POD,181,4,0.597166
Baseline,10,global_count,POD,181,4,0.571443
Baseline,15,global_count,POD,181,4,0.519411
Baseline,20,global_count,POD,181,4,0.401406
Baseline,25,global_count,POD,181,4,0.364570
Baseline,30,global_count,POD,181,4,0.324631
Baseline,35,global_count,POD,181,4,0.243685
Baseline,40,global_count,POD,181,4,0.220239
Baseline,45,global_count,POD,181,4,0.192740
Baseline,50,global_count,POD,181,4,0.190079
Baseline,55,global_count,POD,181,4,0.220228
Baseline,60,global_count,POD,181,4,0.207980
Baseline,5,batch_avg,POD,181,16,0.210728
Baseline,10,batch_avg,POD,181,16,0.127856
Baseline,15,batch_avg,POD,181,16,0.080708
Baseline,20,batch_avg,POD,181,16,0.049434
Baseline,25,batch_avg,POD,181,16,0.031196
Baseline,30,batch_avg,POD,181,16,0.019738
Baseline,35,batch_avg,POD,181,16,0.016028
Baseline,40,batch_avg,POD,181,16,0.015669
Baseline,45,batch_avg,POD,181,16,0.015201
Baseline,50,batch_avg,POD,181,16,0.014148
Baseline,55,batch_avg,POD,181,16,0.014247
Baseline,60,batch_avg,POD,181,16,0.012975
Baseline,5,global_count,POD,181,16,0.458906
Baseline,10,global_count,POD,181,16,0.364715
Baseline,15,global_count,POD,181,16,0.290783
Baseline,20,global_count,POD,181,16,0.221649
Baseline,25,global_count,POD,181,16,0.178970
Baseline,30,global_count,POD,181,16,0.144114
Baseline,35,global_count,POD,181,16,0.111883
Baseline,40,global_count,POD,181,16,0.093377
Baseline,45,global_count,POD,181,16,0.084327
Baseline,50,global_count,POD,181,16,0.080968
Baseline,55,global_count,POD,181,16,0.087201
Baseline,60,global_count,POD,181,16,0.079966
Baseline,5,batch_avg,POD,219,1,0.042046
Baseline,10,batch_avg,POD,219,1,0.030970
Baseline,15,batch_avg,POD,219,1,0.027376
Baseline,20,batch_avg,POD,219,1,0.024501
Baseline,25,batch_avg,POD,219,1,0.022572
Baseline,30,batch_avg,POD,219,1,0.018975
Baseline,35,batch_avg,POD,219,1,0.000005
Baseline,40,batch_avg,POD,219,1,0.000000
Baseline,45,batch_avg,POD,219,1,0.000000
Baseline,50,batch_avg,POD,219,1,0.000000
Baseline,55,batch_avg,POD,219,1,0.000000
Baseline,60,batch_avg,POD,219,1,0.000000
Baseline,5,global_count,POD,219,1,0.620975
Baseline,10,global_count,POD,219,1,0.604730
Baseline,15,global_count,POD,219,1,0.605628
Baseline,20,global_count,POD,219,1,0.543437
Baseline,25,global_count,POD,219,1,0.420914
Baseline,30,global_count,POD,219,1,0.370766
Baseline,35,global_count,POD,219,1,0.000178
Baseline,40,global_count,POD,219,1,0.000000
Baseline,45,global_count,POD,219,1,0.000000
Baseline,50,global_count,POD,219,1,0.000000
Baseline,55,global_count,POD,219,1,0.000000
Baseline,60,global_count,POD,219,1,0.000000
Baseline,5,batch_avg,POD,219,4,0.047355
Baseline,10,batch_avg,POD,219,4,0.031983
Baseline,15,batch_avg,POD,219,4,0.027409
Baseline,20,batch_avg,POD,219,4,0.024232
Baseline,25,batch_avg,POD,219,4,0.022379
Baseline,30,batch_avg,POD,219,4,0.018633
Baseline,35,batch_avg,POD,219,4,0.000013
Baseline,40,batch_avg,POD,219,4,0.000000
Baseline,45,batch_avg,POD,219,4,0.000000
Baseline,50,batch_avg,POD,219,4,0.000000
Baseline,55,batch_avg,POD,219,4,0.000000
Baseline,60,batch_avg,POD,219,4,0.000000
Baseline,5,global_count,POD,219,4,0.578935
Baseline,10,global_count,POD,219,4,0.555489
Baseline,15,global_count,POD,219,4,0.550190
Baseline,20,global_count,POD,219,4,0.494693
Baseline,25,global_count,POD,219,4,0.381172
Baseline,30,global_count,POD,219,4,0.330264
Baseline,35,global_count,POD,219,4,0.000339
Baseline,40,global_count,POD,219,4,0.000000
Baseline,45,global_count,POD,219,4,0.000000
Baseline,50,global_count,POD,219,4,0.000000
Baseline,55,global_count,POD,219,4,0.000000
Baseline,60,global_count,POD,219,4,0.000000
Baseline,5,batch_avg,POD,219,16,0.055150
Baseline,10,batch_avg,POD,219,16,0.032077
Baseline,15,batch_avg,POD,219,16,0.025168
Baseline,20,batch_avg,POD,219,16,0.022188
Baseline,25,batch_avg,POD,219,16,0.020599
Baseline,30,batch_avg,POD,219,16,0.018197
Baseline,35,batch_avg,POD,219,16,0.000042
Baseline,40,batch_avg,POD,219,16,0.000000
Baseline,45,batch_avg,POD,219,16,0.000000
Baseline,50,batch_avg,POD,219,16,0.000000
Baseline,55,batch_avg,POD,219,16,0.000000
Baseline,60,batch_avg,POD,219,16,0.000000
Baseline,5,global_count,POD,219,16,0.403812
Baseline,10,global_count,POD,219,16,0.351228
Baseline,15,global_count,POD,219,16,0.330708
Baseline,20,global_count,POD,219,16,0.308045
Baseline,25,global_count,POD,219,16,0.238164
Baseline,30,global_count,POD,219,16,0.212096
Baseline,35,global_count,POD,219,16,0.000588
Baseline,40,global_count,POD,219,16,0.000000
Baseline,45,global_count,POD,219,16,0.000000
Baseline,50,global_count,POD,219,16,0.000000
Baseline,55,global_count,POD,219,16,0.000000
Baseline,60,global_count,POD,219,16,0.000000
Baseline,5,batch_avg,FAR,16,1,0.126826
Baseline,10,batch_avg,FAR,16,1,0.155820
Baseline,15,batch_avg,FAR,16,1,0.196518
Baseline,20,batch_avg,FAR,16,1,0.234840
Baseline,25,batch_avg,FAR,16,1,0.275129
Baseline,30,batch_avg,FAR,16,1,0.307246
Baseline,35,batch_avg,FAR,16,1,0.337922
Baseline,40,batch_avg,FAR,16,1,0.372563
Baseline,45,batch_avg,FAR,16,1,0.396368
Baseline,50,batch_avg,FAR,16,1,0.414457
Baseline,55,batch_avg,FAR,16,1,0.434675
Baseline,60,batch_avg,FAR,16,1,0.452904
Baseline,5,global_count,FAR,16,1,0.105474
Baseline,10,global_count,FAR,16,1,0.132405
Baseline,15,global_count,FAR,16,1,0.168891
Baseline,20,global_count,FAR,16,1,0.203581
Baseline,25,global_count,FAR,16,1,0.240576
Baseline,30,global_count,FAR,16,1,0.270517
Baseline,35,global_count,FAR,16,1,0.299125
Baseline,40,global_count,FAR,16,1,0.334114
Baseline,45,global_count,FAR,16,1,0.359219
Baseline,50,global_count,FAR,16,1,0.375970
Baseline,55,global_count,FAR,16,1,0.395574
Baseline,60,global_count,FAR,16,1,0.413749
Baseline,5,batch_avg,FAR,16,4,0.087822
Baseline,10,batch_avg,FAR,16,4,0.106593
Baseline,15,batch_avg,FAR,16,4,0.143887
Baseline,20,batch_avg,FAR,16,4,0.183505
Baseline,25,batch_avg,FAR,16,4,0.225764
Baseline,30,batch_avg,FAR,16,4,0.260492
Baseline,35,batch_avg,FAR,16,4,0.294809
Baseline,40,batch_avg,FAR,16,4,0.331317
Baseline,45,batch_avg,FAR,16,4,0.357037
Baseline,50,batch_avg,FAR,16,4,0.376628
Baseline,55,batch_avg,FAR,16,4,0.397987
Baseline,60,batch_avg,FAR,16,4,0.417236
Baseline,5,global_count,FAR,16,4,0.074501
Baseline,10,global_count,FAR,16,4,0.091790
Baseline,15,global_count,FAR,16,4,0.125471
Baseline,20,global_count,FAR,16,4,0.161557
Baseline,25,global_count,FAR,16,4,0.200359
Baseline,30,global_count,FAR,16,4,0.232558
Baseline,35,global_count,FAR,16,4,0.264403
Baseline,40,global_count,FAR,16,4,0.300638
Baseline,45,global_count,FAR,16,4,0.327214
Baseline,50,global_count,FAR,16,4,0.345382
Baseline,55,global_count,FAR,16,4,0.366132
Baseline,60,global_count,FAR,16,4,0.385203
Baseline,5,batch_avg,FAR,16,16,0.047456
Baseline,10,batch_avg,FAR,16,16,0.048404
Baseline,15,batch_avg,FAR,16,16,0.067547
Baseline,20,batch_avg,FAR,16,16,0.091961
Baseline,25,batch_avg,FAR,16,16,0.124720
Baseline,30,batch_avg,FAR,16,16,0.153452
Baseline,35,batch_avg,FAR,16,16,0.186161
Baseline,40,batch_avg,FAR,16,16,0.220972
Baseline,45,batch_avg,FAR,16,16,0.247120
Baseline,50,batch_avg,FAR,16,16,0.266766
Baseline,55,batch_avg,FAR,16,16,0.289415
Baseline,60,batch_avg,FAR,16,16,0.309669
Baseline,5,global_count,FAR,16,16,0.042326
Baseline,10,global_count,FAR,16,16,0.042910
Baseline,15,global_count,FAR,16,16,0.060283
Baseline,20,global_count,FAR,16,16,0.083175
Baseline,25,global_count,FAR,16,16,0.113566
Baseline,30,global_count,FAR,16,16,0.140511
Baseline,35,global_count,FAR,16,16,0.171180
Baseline,40,global_count,FAR,16,16,0.205125
Baseline,45,global_count,FAR,16,16,0.231393
Baseline,50,global_count,FAR,16,16,0.249743
Baseline,55,global_count,FAR,16,16,0.271898
Baseline,60,global_count,FAR,16,16,0.292008
Baseline,5,batch_avg,FAR,74,1,0.099398
Baseline,10,batch_avg,FAR,74,1,0.125316
Baseline,15,batch_avg,FAR,74,1,0.161230
Baseline,20,batch_avg,FAR,74,1,0.186507
Baseline,25,batch_avg,FAR,74,1,0.226170
Baseline,30,batch_avg,FAR,74,1,0.261846
Baseline,35,batch_avg,FAR,74,1,0.291670
Baseline,40,batch_avg,FAR,74,1,0.324497
Baseline,45,batch_avg,FAR,74,1,0.348032
Baseline,50,batch_avg,FAR,74,1,0.371160
Baseline,55,batch_avg,FAR,74,1,0.391118
Baseline,60,batch_avg,FAR,74,1,0.407332
Baseline,5,global_count,FAR,74,1,0.076271
Baseline,10,global_count,FAR,74,1,0.101115
Baseline,15,global_count,FAR,74,1,0.130245
Baseline,20,global_count,FAR,74,1,0.154374
Baseline,25,global_count,FAR,74,1,0.179432
Baseline,30,global_count,FAR,74,1,0.201708
Baseline,35,global_count,FAR,74,1,0.219859
Baseline,40,global_count,FAR,74,1,0.251273
Baseline,45,global_count,FAR,74,1,0.282925
Baseline,50,global_count,FAR,74,1,0.296909
Baseline,55,global_count,FAR,74,1,0.310843
Baseline,60,global_count,FAR,74,1,0.323655
Baseline,5,batch_avg,FAR,74,4,0.052841
Baseline,10,batch_avg,FAR,74,4,0.068319
Baseline,15,batch_avg,FAR,74,4,0.099080
Baseline,20,batch_avg,FAR,74,4,0.126051
Baseline,25,batch_avg,FAR,74,4,0.166314
Baseline,30,batch_avg,FAR,74,4,0.199651
Baseline,35,batch_avg,FAR,74,4,0.231372
Baseline,40,batch_avg,FAR,74,4,0.264102
Baseline,45,batch_avg,FAR,74,4,0.288621
Baseline,50,batch_avg,FAR,74,4,0.310824
Baseline,55,batch_avg,FAR,74,4,0.332919
Baseline,60,batch_avg,FAR,74,4,0.349646
Baseline,5,global_count,FAR,74,4,0.041132
Baseline,10,global_count,FAR,74,4,0.056694
Baseline,15,global_count,FAR,74,4,0.082817
Baseline,20,global_count,FAR,74,4,0.108046
Baseline,25,global_count,FAR,74,4,0.134661
Baseline,30,global_count,FAR,74,4,0.158764
Baseline,35,global_count,FAR,74,4,0.178518
Baseline,40,global_count,FAR,74,4,0.209419
Baseline,45,global_count,FAR,74,4,0.239220
Baseline,50,global_count,FAR,74,4,0.253171
Baseline,55,global_count,FAR,74,4,0.268289
Baseline,60,global_count,FAR,74,4,0.281190
Baseline,5,batch_avg,FAR,74,16,0.020418
Baseline,10,batch_avg,FAR,74,16,0.021003
Baseline,15,batch_avg,FAR,74,16,0.033593
Baseline,20,batch_avg,FAR,74,16,0.045122
Baseline,25,batch_avg,FAR,74,16,0.068146
Baseline,30,batch_avg,FAR,74,16,0.093436
Baseline,35,batch_avg,FAR,74,16,0.113575
Baseline,40,batch_avg,FAR,74,16,0.135846
Baseline,45,batch_avg,FAR,74,16,0.156216
Baseline,50,batch_avg,FAR,74,16,0.175548
Baseline,55,batch_avg,FAR,74,16,0.193196
Baseline,60,batch_avg,FAR,74,16,0.210515
Baseline,5,global_count,FAR,74,16,0.015689
Baseline,10,global_count,FAR,74,16,0.017872
Baseline,15,global_count,FAR,74,16,0.028393
Baseline,20,global_count,FAR,74,16,0.040827
Baseline,25,global_count,FAR,74,16,0.056375
Baseline,30,global_count,FAR,74,16,0.074249
Baseline,35,global_count,FAR,74,16,0.089122
Baseline,40,global_count,FAR,74,16,0.112889
Baseline,45,global_count,FAR,74,16,0.135814
Baseline,50,global_count,FAR,74,16,0.146678
Baseline,55,global_count,FAR,74,16,0.160563
Baseline,60,global_count,FAR,74,16,0.172112
Baseline,5,batch_avg,FAR,133,1,0.107050
Baseline,10,batch_avg,FAR,133,1,0.149996
Baseline,15,batch_avg,FAR,133,1,0.187870
Baseline,20,batch_avg,FAR,133,1,0.238891
Baseline,25,batch_avg,FAR,133,1,0.282467
Baseline,30,batch_avg,FAR,133,1,0.318720
Baseline,35,batch_avg,FAR,133,1,0.341175
Baseline,40,batch_avg,FAR,133,1,0.371852
Baseline,45,batch_avg,FAR,133,1,0.366544
Baseline,50,batch_avg,FAR,133,1,0.348813
Baseline,55,batch_avg,FAR,133,1,0.288857
Baseline,60,batch_avg,FAR,133,1,0.237726
Baseline,5,global_count,FAR,133,1,0.054573
Baseline,10,global_count,FAR,133,1,0.084328
Baseline,15,global_count,FAR,133,1,0.143636
Baseline,20,global_count,FAR,133,1,0.169120
Baseline,25,global_count,FAR,133,1,0.181790
Baseline,30,global_count,FAR,133,1,0.205648
Baseline,35,global_count,FAR,133,1,0.173201
Baseline,40,global_count,FAR,133,1,0.302911
Baseline,45,global_count,FAR,133,1,0.499229
Baseline,50,global_count,FAR,133,1,0.546918
Baseline,55,global_count,FAR,133,1,0.551291
Baseline,60,global_count,FAR,133,1,0.551470
Baseline,5,batch_avg,FAR,133,4,0.049367
Baseline,10,batch_avg,FAR,133,4,0.075114
Baseline,15,batch_avg,FAR,133,4,0.108430
Baseline,20,batch_avg,FAR,133,4,0.145100
Baseline,25,batch_avg,FAR,133,4,0.182282
Baseline,30,batch_avg,FAR,133,4,0.221479
Baseline,35,batch_avg,FAR,133,4,0.245643
Baseline,40,batch_avg,FAR,133,4,0.276036
Baseline,45,batch_avg,FAR,133,4,0.276597
Baseline,50,batch_avg,FAR,133,4,0.275810
Baseline,55,batch_avg,FAR,133,4,0.227673
Baseline,60,batch_avg,FAR,133,4,0.183426
Baseline,5,global_count,FAR,133,4,0.029345
Baseline,10,global_count,FAR,133,4,0.049699
Baseline,15,global_count,FAR,133,4,0.100253
Baseline,20,global_count,FAR,133,4,0.128597
Baseline,25,global_count,FAR,133,4,0.148045
Baseline,30,global_count,FAR,133,4,0.178075
Baseline,35,global_count,FAR,133,4,0.162336
Baseline,40,global_count,FAR,133,4,0.275345
Baseline,45,global_count,FAR,133,4,0.450224
Baseline,50,global_count,FAR,133,4,0.505443
Baseline,55,global_count,FAR,133,4,0.528254
Baseline,60,global_count,FAR,133,4,0.542719
Baseline,5,batch_avg,FAR,133,16,0.016620
Baseline,10,batch_avg,FAR,133,16,0.019030
Baseline,15,batch_avg,FAR,133,16,0.027894
Baseline,20,batch_avg,FAR,133,16,0.036139
Baseline,25,batch_avg,FAR,133,16,0.055763
Baseline,30,batch_avg,FAR,133,16,0.073105
Baseline,35,batch_avg,FAR,133,16,0.086893
Baseline,40,batch_avg,FAR,133,16,0.097426
Baseline,45,batch_avg,FAR,133,16,0.106764
Baseline,50,batch_avg,FAR,133,16,0.107345
Baseline,55,batch_avg,FAR,133,16,0.100207
Baseline,60,batch_avg,FAR,133,16,0.086522
Baseline,5,global_count,FAR,133,16,0.011854
Baseline,10,global_count,FAR,133,16,0.017582
Baseline,15,global_count,FAR,133,16,0.041218
Baseline,20,global_count,FAR,133,16,0.054965
Baseline,25,global_count,FAR,133,16,0.068080
Baseline,30,global_count,FAR,133,16,0.090528
Baseline,35,global_count,FAR,133,16,0.087013
Baseline,40,global_count,FAR,133,16,0.162628
Baseline,45,global_count,FAR,133,16,0.285695
Baseline,50,global_count,FAR,133,16,0.346588
Baseline,55,global_count,FAR,133,16,0.405581
Baseline,60,global_count,FAR,133,16,0.451382
Baseline,5,batch_avg,FAR,160,1,0.097895
Baseline,10,batch_avg,FAR,160,1,0.118928
Baseline,15,batch_avg,FAR,160,1,0.157497
Baseline,20,batch_avg,FAR,160,1,0.176400
Baseline,25,batch_avg,FAR,160,1,0.178738
Baseline,30,batch_avg,FAR,160,1,0.140161
Baseline,35,batch_avg,FAR,160,1,0.115127
Baseline,40,batch_avg,FAR,160,1,0.094403
Baseline,45,batch_avg,FAR,160,1,0.056940
Baseline,50,batch_avg,FAR,160,1,0.041096
Baseline,55,batch_avg,FAR,160,1,0.017052
Baseline,60,batch_avg,FAR,160,1,0.018022
Baseline,5,global_count,FAR,160,1,0.022661
Baseline,10,global_count,FAR,160,1,0.033636
Baseline,15,global_count,FAR,160,1,0.080537
Baseline,20,global_count,FAR,160,1,0.086417
Baseline,25,global_count,FAR,160,1,0.074107
Baseline,30,global_count,FAR,160,1,0.089152
Baseline,35,global_count,FAR,160,1,0.083070
Baseline,40,global_count,FAR,160,1,0.276039
Baseline,45,global_count,FAR,160,1,0.408351
Baseline,50,global_count,FAR,160,1,0.286832
Baseline,55,global_count,FAR,160,1,0.243953
Baseline,60,global_count,FAR,160,1,0.238106
Baseline,5,batch_avg,FAR,160,4,0.044585
Baseline,10,batch_avg,FAR,160,4,0.059862
Baseline,15,batch_avg,FAR,160,4,0.085743
Baseline,20,batch_avg,FAR,160,4,0.103030
Baseline,25,batch_avg,FAR,160,4,0.122446
Baseline,30,batch_avg,FAR,160,4,0.089733
Baseline,35,batch_avg,FAR,160,4,0.083113
Baseline,40,batch_avg,FAR,160,4,0.067213
Baseline,45,batch_avg,FAR,160,4,0.042847
Baseline,50,batch_avg,FAR,160,4,0.034748
Baseline,55,batch_avg,FAR,160,4,0.015978
Baseline,60,batch_avg,FAR,160,4,0.016957
Baseline,5,global_count,FAR,160,4,0.015592
Baseline,10,global_count,FAR,160,4,0.025067
Baseline,15,global_count,FAR,160,4,0.071349
Baseline,20,global_count,FAR,160,4,0.082151
Baseline,25,global_count,FAR,160,4,0.077579
Baseline,30,global_count,FAR,160,4,0.090919
Baseline,35,global_count,FAR,160,4,0.082778
Baseline,40,global_count,FAR,160,4,0.276694
Baseline,45,global_count,FAR,160,4,0.414932
Baseline,50,global_count,FAR,160,4,0.291314
Baseline,55,global_count,FAR,160,4,0.244990
