Method,LeadTimeMin,Aggregation,Metric,Threshold,Pool,Value
Baseline,15,global_count,CSI,74,4,0.719844
Baseline,20,global_count,CSI,74,4,0.675047
Baseline,25,global_count,CSI,74,4,0.636613
Baseline,30,global_count,CSI,74,4,0.596665
Baseline,35,global_count,CSI,74,4,0.562511
Baseline,40,global_count,CSI,74,4,0.528558
Baseline,45,global_count,CSI,74,4,0.484291
Baseline,50,global_count,CSI,74,4,0.457462
Baseline,55,global_count,CSI,74,4,0.435514
Baseline,60,global_count,CSI,74,4,0.410690
Baseline,5,batch_avg,CSI,74,16,0.786057
Baseline,10,batch_avg,CSI,74,16,0.686841
Baseline,15,batch_avg,CSI,74,16,0.632947
Baseline,20,batch_avg,CSI,74,16,0.593982
Baseline,25,batch_avg,CSI,74,16,0.564772
Baseline,30,batch_avg,CSI,74,16,0.531801
Baseline,35,batch_avg,CSI,74,16,0.505011
Baseline,40,batch_avg,CSI,74,16,0.485760
Baseline,45,batch_avg,CSI,74,16,0.457484
Baseline,50,batch_avg,CSI,74,16,0.434948
Baseline,55,batch_avg,CSI,74,16,0.414538
Baseline,60,batch_avg,CSI,74,16,0.393613
Baseline,5,global_count,CSI,74,16,0.829074
Baseline,10,global_count,CSI,74,16,0.745425
Baseline,15,global_count,CSI,74,16,0.699322
Baseline,20,global_count,CSI,74,16,0.663836
Baseline,25,global_count,CSI,74,16,0.637210
Baseline,30,global_count,CSI,74,16,0.604219
Baseline,35,global_count,CSI,74,16,0.577926
Baseline,40,global_count,CSI,74,16,0.554877
Baseline,45,global_count,CSI,74,16,0.520740
Baseline,50,global_count,CSI,74,16,0.498340
Baseline,55,global_count,CSI,74,16,0.478709
Baseline,60,global_count,CSI,74,16,0.456780
Baseline,5,batch_avg,CSI,133,1,0.428242
Baseline,10,batch_avg,CSI,133,1,0.311845
Baseline,15,batch_avg,CSI,133,1,0.239665
Baseline,20,batch_avg,CSI,133,1,0.183462
Baseline,25,batch_avg,CSI,133,1,0.141230
Baseline,30,batch_avg,CSI,133,1,0.104248
Baseline,35,batch_avg,CSI,133,1,0.078475
Baseline,40,batch_avg,CSI,133,1,0.056139
Baseline,45,batch_avg,CSI,133,1,0.038450
Baseline,50,batch_avg,CSI,133,1,0.027161
Baseline,55,batch_avg,CSI,133,1,0.020116
Baseline,60,batch_avg,CSI,133,1,0.017159
Baseline,5,global_count,CSI,133,1,0.591308
Baseline,10,global_count,CSI,133,1,0.517039
Baseline,15,global_count,CSI,133,1,0.441802
Baseline,20,global_count,CSI,133,1,0.382714
