[2026-05-11 19:14:11] INFO: Device: cuda
[2026-05-11 19:14:11] INFO: Config: {'dataset': {'name': 'sevir', 'data_root': 'F:\\zyx\\dataset\\sevir_data', 'img_type': 'vil', 'resolution': 384, 'in_len': 13, 'out_len_short': 6, 'out_len_long': 12, 'interval': 5, 'intensity_threshold': 219, 'normalize': False}, 'dataloader': {'batch_size': 2, 'num_workers': 2, 'pin_memory': False}, 'grad_accum_steps': 4, 'model': {'in_shape': [13, 1, 384, 384], 'hid_S': 64, 'hid_T': 256, 'N_S': 2, 'N_T': 4, 'translator': 'inception_unet'}, 'loss': {'wmax': 10, 'tau': 219}, 'optimizer': {'type': 'adam', 'lr': 0.0005, 'weight_decay': 0.0}, 'scheduler': {'type': 'cosine', 'min_lr': 5e-05, 'warmup_epochs': 5}, 'training': {'max_epochs': 100, 'val_interval': 5, 'save_top_k': 3, 'early_stop_patience': 20, 'grad_clip': 1.0, 'seed': 42}, 'checkpoints': {'dir': 'checkpoints/sevir', 'stage1_name': 'stage1_best.pth', 'stage2_name': 'stage2_best.pth'}, 'logging': {'log_dir': 'logs/sevir', 'log_interval': 50}, 'evaluation': {'csi_thresholds': [16, 74, 133, 160, 181, 219], 'pool_sizes': [1, 4, 16], 'n_ensemble': 1}}
[2026-05-11 19:14:11] INFO: Building dataloaders...
[2026-05-11 19:14:11] INFO: Train batches: 18273 | Val batches: 3107
[2026-05-11 19:14:12] INFO: Model parameters: 294,226,369
[2026-05-11 19:14:13] INFO: Starting Stage 1 training for 100 epochs...
[2026-05-11 19:28:29] INFO: Epoch 1 | Batch 1800/18273 | Loss(recent/epoch): 1429.4/2597.0 | LR: 0.000050
[2026-05-11 19:28:54] INFO: Epoch 1 | Batch 1850/18273 | Loss(recent/epoch): 6953.7/2714.7 | LR: 0.000050
[2026-05-11 19:29:19] INFO: Epoch 1 | Batch 1900/18273 | Loss(recent/epoch): 1685.5/2687.7 | LR: 0.000050
[2026-05-11 19:29:44] INFO: Epoch 1 | Batch 1950/18273 | Loss(recent/epoch): 1742.4/2663.4 | LR: 0.000050
[2026-05-11 19:30:09] INFO: Epoch 1 | Batch 2000/18273 | Loss(recent/epoch): 1791.9/2641.6 | LR: 0.000050
[2026-05-11 19:30:34] INFO: Epoch 1 | Batch 2050/18273 | Loss(recent/epoch): 1403.5/2611.4 | LR: 0.000050
[2026-05-11 19:30:59] INFO: Epoch 1 | Batch 2100/18273 | Loss(recent/epoch): 1422.1/2583.1 | LR: 0.000050
[2026-05-11 19:31:24] INFO: Epoch 1 | Batch 2150/18273 | Loss(recent/epoch): 1596.4/2560.2 | LR: 0.000050
[2026-05-11 19:31:49] INFO: Epoch 1 | Batch 2200/18273 | Loss(recent/epoch): 1956.0/2546.4 | LR: 0.000050
[2026-05-11 19:32:14] INFO: Epoch 1 | Batch 2250/18273 | Loss(recent/epoch): 1897.6/2532.0 | LR: 0.000050
[2026-05-11 19:32:39] INFO: Epoch 1 | Batch 2300/18273 | Loss(recent/epoch): 1471.9/2509.0 | LR: 0.000050
[2026-05-11 19:33:04] INFO: Epoch 1 | Batch 2350/18273 | Loss(recent/epoch): 1543.9/2488.4 | LR: 0.000050
[2026-05-11 19:33:29] INFO: Epoch 1 | Batch 2400/18273 | Loss(recent/epoch): 1660.2/2471.2 | LR: 0.000050
[2026-05-11 19:33:54] INFO: Epoch 1 | Batch 2450/18273 | Loss(recent/epoch): 1875.3/2459.0 | LR: 0.000050
[2026-05-11 19:34:19] INFO: Epoch 1 | Batch 2500/18273 | Loss(recent/epoch): 5864.4/2527.1 | LR: 0.000050
[2026-05-11 19:34:45] INFO: Epoch 1 | Batch 2550/18273 | Loss(recent/epoch): 3950.9/2555.0 | LR: 0.000050
[2026-05-11 19:35:10] INFO: Epoch 1 | Batch 2600/18273 | Loss(recent/epoch): 1657.7/2537.8 | LR: 0.000050
[2026-05-11 19:35:35] INFO: Epoch 1 | Batch 2650/18273 | Loss(recent/epoch): 1842.1/2524.7 | LR: 0.000050
[2026-05-11 19:36:00] INFO: Epoch 1 | Batch 2700/18273 | Loss(recent/epoch): 13293.3/2724.1 | LR: 0.000050
[2026-05-11 19:36:25] INFO: Epoch 1 | Batch 2750/18273 | Loss(recent/epoch): 1708.4/2705.6 | LR: 0.000050
[2026-05-11 19:36:50] INFO: Epoch 1 | Batch 2800/18273 | Loss(recent/epoch): 7130.3/2784.6 | LR: 0.000050
[2026-05-11 19:37:15] INFO: Epoch 1 | Batch 2850/18273 | Loss(recent/epoch): 1594.4/2763.7 | LR: 0.000050
[2026-05-11 19:37:40] INFO: Epoch 1 | Batch 2900/18273 | Loss(recent/epoch): 1470.2/2741.4 | LR: 0.000050
[2026-05-11 19:38:06] INFO: Epoch 1 | Batch 2950/18273 | Loss(recent/epoch): 1676.9/2723.4 | LR: 0.000050
[2026-05-11 19:38:31] INFO: Epoch 1 | Batch 3000/18273 | Loss(recent/epoch): 1632.5/2705.2 | LR: 0.000050
[2026-05-11 19:38:56] INFO: Epoch 1 | Batch 3050/18273 | Loss(recent/epoch): 1808.6/2690.5 | LR: 0.000050
[2026-05-11 19:39:21] INFO: Epoch 1 | Batch 3100/18273 | Loss(recent/epoch): 1744.0/2675.3 | LR: 0.000050
[2026-05-11 19:39:46] INFO: Epoch 1 | Batch 3150/18273 | Loss(recent/epoch): 7947.9/2758.9 | LR: 0.000050
[2026-05-11 19:40:11] INFO: Epoch 1 | Batch 3200/18273 | Loss(recent/epoch): 1777.3/2743.6 | LR: 0.000050
[2026-05-11 19:40:36] INFO: Epoch 1 | Batch 3250/18273 | Loss(recent/epoch): 1577.0/2725.7 | LR: 0.000050
[2026-05-11 19:41:01] INFO: Epoch 1 | Batch 3300/18273 | Loss(recent/epoch): 5441.4/2766.8 | LR: 0.000050
[2026-05-11 19:41:26] INFO: Epoch 1 | Batch 3350/18273 | Loss(recent/epoch): 1541.7/2748.5 | LR: 0.000050
[2026-05-11 19:41:51] INFO: Epoch 1 | Batch 3400/18273 | Loss(recent/epoch): 2778.7/2749.0 | LR: 0.000050
[2026-05-11 19:42:16] INFO: Epoch 1 | Batch 3450/18273 | Loss(recent/epoch): 4445.8/2773.6 | LR: 0.000050
[2026-05-11 19:42:41] INFO: Epoch 1 | Batch 3500/18273 | Loss(recent/epoch): 2119.5/2764.2 | LR: 0.000050
[2026-05-11 19:43:06] INFO: Epoch 1 | Batch 3550/18273 | Loss(recent/epoch): 7029.4/2824.3 | LR: 0.000050
[2026-05-11 19:43:31] INFO: Epoch 1 | Batch 3600/18273 | Loss(recent/epoch): 2922.4/2825.6 | LR: 0.000050
[2026-05-11 19:43:56] INFO: Epoch 1 | Batch 3650/18273 | Loss(recent/epoch): 1543.9/2808.1 | LR: 0.000050
