Method,CRPS,MSE,SSIM,CSI-16-POOL1,CSI-16-POOL1-GC,CSI-16-POOL4,CSI-16-POOL4-GC,CSI-16-POOL16,CSI-16-POOL16-GC,CSI-74-POOL1,CSI-74-POOL1-GC,CSI-74-POOL4,CSI-74-POOL4-GC,CSI-74-POOL16,CSI-74-POOL16-GC,CSI-133-POOL1,CSI-133-POOL1-GC,CSI-133-POOL4,CSI-133-POOL4-GC,CSI-133-POOL16,CSI-133-POOL16-GC,CSI-160-POOL1,CSI-160-POOL1-GC,CSI-160-POOL4,CSI-160-POOL4-GC,CSI-160-POOL16,CSI-160-POOL16-GC,CSI-181-POOL1,CSI-181-POOL1-GC,CSI-181-POOL4,CSI-181-POOL4-GC,CSI-181-POOL16,CSI-181-POOL16-GC,CSI-219-POOL1,CSI-219-POOL1-GC,CSI-219-POOL4,CSI-219-POOL4-GC,CSI-219-POOL16,CSI-219-POOL16-GC,POD-16-POOL1,POD-16-POOL1-GC,POD-16-POOL4,POD-16-POOL4-GC,POD-16-POOL16,POD-16-POOL16-GC,POD-74-POOL1,POD-74-POOL1-GC,POD-74-POOL4,POD-74-POOL4-GC,POD-74-POOL16,POD-74-POOL16-GC,POD-133-POOL1,POD-133-POOL1-GC,POD-133-POOL4,POD-133-POOL4-GC,POD-133-POOL16,POD-133-POOL16-GC,POD-160-POOL1,POD-160-POOL1-GC,POD-160-POOL4,POD-160-POOL4-GC,POD-160-POOL16,POD-160-POOL16-GC,POD-181-POOL1,POD-181-POOL1-GC,POD-181-POOL4,POD-181-POOL4-GC,POD-181-POOL16,POD-181-POOL16-GC,POD-219-POOL1,POD-219-POOL1-GC,POD-219-POOL4,POD-219-POOL4-GC,POD-219-POOL16,POD-219-POOL16-GC,FAR-16-POOL1,FAR-16-POOL1-GC,FAR-16-POOL4,FAR-16-POOL4-GC,FAR-16-POOL16,FAR-16-POOL16-GC,FAR-74-POOL1,FAR-74-POOL1-GC,FAR-74-POOL4,FAR-74-POOL4-GC,FAR-74-POOL16,FAR-74-POOL16-GC,FAR-133-POOL1,FAR-133-POOL1-GC,FAR-133-POOL4,FAR-133-POOL4-GC,FAR-133-POOL16,FAR-133-POOL16-GC,FAR-160-POOL1,FAR-160-POOL1-GC,FAR-160-POOL4,FAR-160-POOL4-GC,FAR-160-POOL16,FAR-160-POOL16-GC,FAR-181-POOL1,FAR-181-POOL1-GC,FAR-181-POOL4,FAR-181-POOL4-GC,FAR-181-POOL16,FAR-181-POOL16-GC,FAR-219-POOL1,FAR-219-POOL1-GC,FAR-219-POOL4,FAR-219-POOL4-GC,FAR-219-POOL16,FAR-219-POOL16-GC
Baseline,0.0391,0.0070,0.6089,0.6427,0.6792,0.6728,0.7034,0.7393,0.7592,0.4945,0.5792,0.5125,0.5921,0.5406,0.6055,0.1372,0.2845,0.1447,0.2513,0.1681,0.2326,0.0722,0.3632,0.0730,0.2743,0.0793,0.1722,0.0468,0.4259,0.0476,0.3297,0.0500,0.1813,0.0139,0.2623,0.0143,0.2396,0.0144,0.1532,0.8818,0.9092,0.8749,0.9004,0.8677,0.8861,0.5719,0.6708,0.5695,0.6605,0.5677,0.6370,0.1473,0.3053,0.1514,0.2628,0.1716,0.2366,0.0749,0.3797,0.0749,0.2824,0.0806,0.1741,0.0479,0.4409,0.0484,0.3378,0.0507,0.1831,0.0139,0.2639,0.0143,0.2409,0.0145,0.1537,0.3088,0.2749,0.2653,0.2396,0.1711,0.1587,0.2662,0.2107,0.2075,0.1677,0.1056,0.0875,0.2700,0.2887,0.1889,0.2582,0.0678,0.1686,0.1010,0.1602,0.0639,0.1591,0.0214,0.1487,0.0480,0.1112,0.0292,0.1108,0.0103,0.1065,0.0079,0.0103,0.0041,0.0103,0.0024,0.0105
Enhanced,0.0373,0.0089,0.7289,0.6644,0.7043,0.6832,0.7190,0.7198,0.7457,0.5297,0.6099,0.5496,0.6251,0.5830,0.6442,0.2592,0.3956,0.2911,0.4060,0.3534,0.4403,0.1673,0.4192,0.1893,0.3914,0.2378,0.3709,0.1313,0.4745,0.1523,0.4373,0.1948,0.3880,0.0740,0.6206,0.0861,0.5720,0.1071,0.4355,0.8384,0.8768,0.8160,0.8526,0.7908,0.8176,0.6840,0.7819,0.6589,0.7481,0.6368,0.7031,0.3860,0.5798,0.3830,0.5314,0.4040,0.5009,0.2538,0.6167,0.2546,0.5233,0.2779,0.4298,0.2000,0.6836,0.2042,0.5885,0.2289,0.4563,0.1111,0.7903,0.1137,0.7164,0.1252,0.5070,0.2481,0.2202,0.1989,0.1795,0.1125,0.1047,0.3255,0.2747,0.2512,0.2168,0.1347,0.1211,0.5357,0.4654,0.4221,0.3873,0.2375,0.2332,0.5720,0.4594,0.4800,0.4217,0.3112,0.3030,0.5424,0.4254,0.4650,0.4090,0.3162,0.3240,0.3288,0.2985,0.2891,0.3086,0.2035,0.3135
