Method,Threshold,Pool,LeadTimeMin,TP,FN,FP,TN,CSI,POD,FAR
Enhanced,181,16,15,26742,21232,5778,1547528,0.497507,0.557427,0.177675
Enhanced,181,16,20,25862,22602,6369,1546447,0.471650,0.533633,0.197605
Enhanced,181,16,25,24701,23877,7379,1545323,0.441428,0.508481,0.230019
Enhanced,181,16,30,23152,24824,8887,1544417,0.407154,0.482575,0.277381
Enhanced,181,16,35,22293,25632,9952,1543403,0.385179,0.465164,0.308637
Enhanced,181,16,40,19860,27732,11522,1542166,0.335961,0.417297,0.367153
Enhanced,181,16,45,16340,31616,15720,1537604,0.256612,0.340729,0.490331
Enhanced,181,16,50,14786,32109,17116,1537269,0.230992,0.315300,0.536518
Enhanced,181,16,55,13216,30499,17126,1540439,0.217222,0.302322,0.564432
Enhanced,181,16,60,12311,31445,17837,1539687,0.199877,0.281356,0.591648
Enhanced,219,1,5,2636696,443052,81641,406766432,0.834031,0.856140,0.030033
Enhanced,219,1,10,2617322,117398,299122,406893792,0.862709,0.957071,0.102564
Enhanced,219,1,15,2445528,143407,541379,406797472,0.781240,0.944608,0.181251
Enhanced,219,1,20,2574721,171489,450003,406731552,0.805554,0.937554,0.148775
Enhanced,219,1,25,2555125,194563,421597,406756416,0.805707,0.929242,0.141631
Enhanced,219,1,30,2383224,221528,539557,406783424,0.757948,0.914952,0.184604
Enhanced,219,1,35,2356335,254059,476351,406840896,0.763372,0.902674,0.168162
Enhanced,219,1,40,1881457,562122,820922,406663392,0.576338,0.769960,0.303778
Enhanced,219,1,45,1116573,1401982,1515349,405894016,0.276797,0.443339,0.575758
Enhanced,219,1,50,999835,1268686,1499585,406159520,0.265342,0.440743,0.599973
Enhanced,219,1,55,993392,428733,1366533,407139104,0.356226,0.698527,0.579058
Enhanced,219,1,60,989161,446869,1294411,407197312,0.362272,0.688816,0.566836
Enhanced,219,4,5,176814,37305,6552,25399804,0.801256,0.825774,0.035732
Enhanced,219,4,10,174615,18611,22028,25405224,0.811204,0.903683,0.112020
Enhanced,219,4,15,161877,22232,38131,25398234,0.728388,0.879245,0.190647
Enhanced,219,4,20,168453,25524,32813,25393684,0.742771,0.868417,0.163033
Enhanced,219,4,25,166394,27899,31080,25395100,0.738305,0.856408,0.157388
Enhanced,219,4,30,154800,30473,39097,25396118,0.689932,0.835524,0.201638
Enhanced,219,4,35,152358,33692,35326,25399108,0.688232,0.818909,0.188221
Enhanced,219,4,40,122118,53958,55767,25388636,0.526727,0.693553,0.313500
Enhanced,219,4,45,72942,107439,99276,25340826,0.260827,0.404377,0.576455
Enhanced,219,4,50,64415,100296,98016,25357756,0.245178,0.391079,0.603432
Enhanced,219,4,55,63326,49000,89682,25418462,0.313483,0.563770,0.586126
Enhanced,219,4,60,63065,50313,85295,25421810,0.317431,0.556237,0.574919
Enhanced,219,16,5,15779,6048,830,1578623,0.696429,0.722912,0.049973
Enhanced,219,16,10,15182,5457,2116,1578525,0.667194,0.735598,0.122326
Enhanced,219,16,15,13682,6378,3149,1578071,0.589513,0.682054,0.187095
Enhanced,219,16,20,13486,7235,2866,1577693,0.571756,0.650837,0.175269
Enhanced,219,16,25,12912,7788,2690,1577890,0.552031,0.623768,0.172414
Enhanced,219,16,30,11846,8343,3223,1577868,0.505980,0.586755,0.213883
Enhanced,219,16,35,11326,9089,3035,1577830,0.482985,0.554788,0.211336
Enhanced,219,16,40,9059,10761,4049,1577411,0.379530,0.457064,0.308895
Enhanced,219,16,45,5616,14435,6815,1574414,0.209037,0.280086,0.548226
Enhanced,219,16,50,4688,14493,6849,1575250,0.180100,0.244409,0.593655
Enhanced,219,16,55,4380,11612,6370,1578918,0.195868,0.273887,0.592558
Enhanced,219,16,60,4357,11696,6176,1579051,0.196005,0.271413,0.586348
